LedgerAddressTransactionId,ImportId,Currency,TxId,Address,VoutN,Value,BlockTime,VinTransactionId,TransactionType,RunningBalance,LatestBalance,TokenRunningBalance,TokenLatestBalance,TokenSymbol,ContractAddress
39,1269,ETH,0x44e89631c9c2645310b9e0a88ef6d14fbee0e5e5fb4c22859b1296e06c52d8a1,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6815701,0,03/12/18 1:20,0x44e89631c9c2645310b9e0a88ef6d14fbee0e5e5fb4c22859b1296e06c52d8a1,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
40,1269,ETH,0x7e262eea848c4491c5d559b699f7429094ddf12039796e817412127b4a9fb546,0x7921222b3cf79529026da6935bc99e74d885bf19,6620507,0,01/11/18 0:08,0x7e262eea848c4491c5d559b699f7429094ddf12039796e817412127b4a9fb546,RECEIVED,0,0,1000,1000,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
41,1269,ETH,0x7356b6f8ee420a9865efbb21a4647fa2e1c7a0caa4275f3dda0bec0e6065dbcc,0x001268994f28e19f4e0329b5681b0f370366604a,6638848,0,04/11/18 0:27,0x7356b6f8ee420a9865efbb21a4647fa2e1c7a0caa4275f3dda0bec0e6065dbcc,RECEIVED,0,0,1513.475,1513.475,LINK,0x514910771af9ca656af840dff83e8264ecf986ca
42,1269,ETH,0xde98e649575f5d37b1e8b777b5e5bea44364b821654a2ded53acac71e784fdd6,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4681994,0,05/12/17 22:20,0xde98e649575f5d37b1e8b777b5e5bea44364b821654a2ded53acac71e784fdd6,SENT,0,0,1274495.21,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
43,1269,ETH,0x171a23addd8fd9d807240e00653a991e0e0c50a5235df06db8ec2fa1d4d9e113,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,6348980,0,17/09/18 15:04,0x171a23addd8fd9d807240e00653a991e0e0c50a5235df06db8ec2fa1d4d9e113,RECEIVED,0,0,105450.03,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
44,1269,ETH,0x620b7032b0c9163e0654c1450b517815c55297f60c45ec44c1cf1339413a08dc,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,4807931,0,27/12/17 18:18,0x620b7032b0c9163e0654c1450b517815c55297f60c45ec44c1cf1339413a08dc,RECEIVED,0,0,180560.9073,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
45,1269,ETH,0xea5ca61452302880f6d8748d4742b5eee2077634e225f057e46e4f72ec750ee7,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4615789,0,24/11/17 22:45,0xea5ca61452302880f6d8748d4742b5eee2077634e225f057e46e4f72ec750ee7,SENT,0,0,883386.356,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
46,1269,ETH,0x4b8bc528b38e2aa649fb30bc1a16a95f6087fffe2bc1293a45039a71dd7fef76,0xe546bf717b9bee062a6ed0212c13ab4423300eb2,6928871,0,21/12/18 21:48,0x4b8bc528b38e2aa649fb30bc1a16a95f6087fffe2bc1293a45039a71dd7fef76,RECEIVED,0,0,109,6.00000001,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
47,1269,ETH,0x9f6a828a78500160c30ccc1d18b641d8cbac6e6599f4d45e79eb7c5329fa4c59,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6593098,0,27/10/18 12:30,0x9f6a828a78500160c30ccc1d18b641d8cbac6e6599f4d45e79eb7c5329fa4c59,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
48,1269,ETH,0x809ae650d33d1a56d6c9f69b9f95a5c123e7b37df18557f2410322f4985b3349,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6427154,0,30/09/18 11:50,0x809ae650d33d1a56d6c9f69b9f95a5c123e7b37df18557f2410322f4985b3349,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
49,1269,ETH,0x5f1bdb76bb816de8174d02dbb29636ea5dd948534c9a4c5afbbe78fa50308709,0xe546bf717b9bee062a6ed0212c13ab4423300eb2,6929616,0,22/12/18 0:48,0x5f1bdb76bb816de8174d02dbb29636ea5dd948534c9a4c5afbbe78fa50308709,SENT,0,0,9.99999E-09,6.00000001,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
50,1269,ETH,0x5fb8bf1b7c20bd745f51102f308d7cdc982e3c3b94e96e9ece862d4d03e9a130,0x2051dd2bab0ae6c75dee40546e5ffa196ccc2448,6614263,0,30/10/18 23:49,0x5fb8bf1b7c20bd745f51102f308d7cdc982e3c3b94e96e9ece862d4d03e9a130,SENT,0,0,0,0,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
